Depth,AC,CAL,CNL,DEN,GR,HAC,ILD,ILM,LLD,LLS,MINV,MNOR,MSFL,SFLU,SP,result
1218.4991,97.5085,8.4495,29.0109,2.3609,88.002,95.302,6.7479,6.7159,7.4141,7.158,7.6419,6.2737,9.6203,7.2177,66.8482,油层
1218.5491,96.3001,8.4497,28.9154,2.3704,87.9295,95.4347,6.6173,6.617,7.3747,7.1154,8.1955,6.9633,10.0205,7.2062,66.9988,油层
1218.5991,96.0909,8.449,28.8563,2.3797,87.9619,95.6306,6.5155,6.5182,7.3683,7.1081,8.364,7.6577,10.6181,7.185,67.147,油层
1218.6491,96.9267,8.4503,28.7992,2.3857,88.1571,95.7553,6.4146,6.4151,7.5112,7.2087,8.1184,7.8401,10.8647,7.185,67.2952,油层
1218.6991,97.9425,8.4541,28.7369,2.3873,87.9058,95.6648,6.3149,6.3259,7.6808,7.3409,7.3709,7.6197,11.3688,7.1636,67.4454,油层
1218.7491,99.0227,8.4576,28.7308,2.3862,87.1115,95.3685,6.2432,6.252,7.8255,7.4744,6.7618,6.9246,11.6392,7.1471,67.5991,油层
1218.7991,99.4147,8.4647,28.7469,2.3802,86.9894,95.2258,6.1705,6.1928,7.953,7.5936,6.1088,6.3087,11.2268,7.1572,67.7573,油层
1218.8491,98.9753,8.4718,28.7748,2.3736,87.2694,95.3504,6.0974,6.1336,7.9318,7.5844,5.8443,5.6282,10.6241,7.1547,67.9209,油层
1218.8991,98.1817,8.4768,28.8439,2.3691,87.5024,95.6095,6.0651,6.0758,7.7908,7.4703,5.9011,5.2511,10.0835,7.1465,68.0899,油层
1218.9491,96.769,8.4828,28.9132,2.3686,87.9059,95.9484,6.0666,6.0219,7.5851,7.3135,6.5495,5.245,9.2606,7.1175,68.2642,油层
1218.9991,95.7599,8.4949,28.9926,2.372,88.573,96.1421,6.0349,6.0051,7.3856,7.145,7.3335,5.9137,8.8878,7.0893,68.4428,油层
1219.0491,94.918,8.5079,29.1372,2.3793,88.8161,96.2929,6.0064,5.9547,7.1932,6.9754,7.4912,6.8462,9.0548,6.9981,68.6244,油层
1219.0991,94.59,8.529,29.2638,2.3897,89.1643,96.363,5.977,5.9197,7.1172,6.9157,7.2021,7.1334,9.1168,6.8857,68.8071,油层
1219.1491,94.5114,8.5529,29.4251,2.3972,89.4524,96.2521,5.9683,5.895,7.0994,6.8945,6.7683,6.7045,9.345,6.7448,68.9885,油层
1219.1991,94.5397,8.5743,29.5609,2.3949,89.8165,95.9363,5.9263,5.855,7.1533,6.9198,6.534,6.2482,9.5242,6.5848,69.1658,油层
1219.2491,94.6556,8.5909,29.6596,2.3856,90.5656,95.089,5.8847,5.8303,7.2056,6.9598,6.172,5.9648,9.5682,6.4248,69.3361,油层
1219.2991,94.7913,8.6057,29.8091,2.3748,91.565,94.1896,5.8782,5.8056,7.2144,6.9592,5.833,5.6061,9.2751,6.2774,69.4965,油层
1219.3491,95.0012,8.6139,29.9631,2.3641,92.4142,93.0974,5.8935,5.7941,7.1528,6.902,5.6662,5.2888,9.1421,6.1775,69.6442,油层
1219.3991,95.1516,8.6188,30.1035,2.3584,93.0004,92.5718,5.8798,5.7899,6.9529,6.7519,5.8616,5.1667,8.9642,6.0983,69.7772,油层
1219.4491,95.2015,8.62,30.2121,2.3614,93.7271,92.8358,5.8604,5.7857,6.7131,6.5717,6.0065,5.3805,8.9646,6.0459,69.8937,油层
1219.4991,95.1055,8.6158,30.2671,2.3704,94.4425,93.5114,5.8549,5.7851,6.5069,6.3948,6.0738,5.4638,8.8434,6.0422,69.9932,油层
