Depth,AC,CAL,CNL,DEN,GR,MINV,MNOR,R045,R4,RILD,RILM,RLL8,RLLD,RLLS,RPRX,SP,result
1322.90625,99.1297,9.6184,30.6731,2.1751,88.7628,4.1509,5.6966,4.1072,3.7682,3.0872,2.947,9.1527,9.7389,9.1803,22.278,76.1522,水层
1322.9375,99.1295,9.5835,30.7571,2.1699,89.4727,4.1498,5.7216,4.0058,3.741,3.0581,2.9575,9.0517,9.7569,9.2654,22.0709,76.2141,水层
1322.96875,99.1894,9.5788,30.8771,2.1657,89.943,4.1745,5.7335,3.9297,3.7261,3.035,2.968,8.9352,9.7749,9.2825,21.9876,76.2379,水层
1323.0,99.3094,9.5792,30.9972,2.1585,90.2521,4.1738,5.7327,3.841,3.7244,3.0118,3.0231,8.8203,9.7748,9.2311,21.9855,76.2995,水层
1323.03125,99.4494,9.5493,30.9251,2.1471,90.5612,4.1728,5.7189,3.7905,3.7993,3.0113,3.0849,8.7715,9.7029,9.0958,22.0646,76.3365,水层
1323.0625,99.6294,9.5094,30.6728,2.1391,90.5488,4.1719,5.6923,3.6892,3.8996,3.0333,3.1832,8.6907,9.6314,8.979,22.2267,76.3981,水层
1323.09375,99.7495,9.4794,30.3845,2.1317,90.377,4.1711,5.6528,3.6514,4.0894,3.0953,3.2726,8.6426,9.4378,8.8473,22.3896,76.473,水层
1323.125,99.9095,9.4395,30.0602,2.1228,90.044,4.1701,5.6395,3.6139,4.3558,3.1822,3.4402,8.6426,9.2994,8.7337,22.6785,76.5222,水层
1323.15625,100.0095,9.455,29.8559,2.1164,89.5507,4.1692,5.6387,3.5636,4.7369,3.3203,3.55,8.6426,9.1293,8.5897,22.8871,76.5454,水层
1323.1875,100.2095,9.4907,29.6397,2.109,89.0603,4.1554,5.6122,3.5645,5.1182,3.4073,3.718,8.6425,8.9954,8.4482,22.9277,76.582,水层
1323.21875,100.3496,9.5466,29.3995,2.1014,88.2455,4.1548,5.6114,3.6169,5.5253,3.5487,3.858,8.6425,8.8145,8.3397,22.7144,76.6058,水层
1323.25,100.5296,9.5873,29.0991,2.095,87.4317,4.1283,5.6105,3.7331,5.9451,3.6823,3.9958,8.6425,8.7013,8.2022,22.4201,76.6038,水层
1323.28125,100.7497,9.6129,28.8949,2.0962,86.6188,4.1272,5.6094,4.1315,6.4157,3.8068,4.1539,8.6425,8.5106,8.0819,22.0887,76.5765,水层
1323.3125,100.9298,9.6032,28.6787,2.0986,85.7248,4.1264,5.6085,4.5425,6.8226,3.9428,4.3423,8.6425,8.448,7.9487,21.5615,76.4209,水层
1323.34375,100.9497,9.533,28.3423,2.101,84.9939,4.1256,5.633,5.0048,7.255,4.1446,4.4892,8.6425,8.3241,7.8467,21.0862,76.2659,水层
1323.375,100.9495,9.4173,28.0781,2.1032,83.9396,4.1629,5.6578,5.5058,7.7256,4.2769,4.641,8.5313,8.2324,7.7316,20.5833,76.0468,水层
1323.40625,100.8692,9.3369,27.7057,2.1046,82.8863,4.2133,5.6826,5.9939,8.0689,4.4793,4.8155,8.4684,8.1417,7.6042,20.0178,75.8407,水层
1323.4375,100.6487,9.2263,27.4535,2.1046,81.5916,4.2763,5.7072,6.3151,8.0032,4.648,4.9143,8.3904,8.0669,7.5621,19.3244,75.6344,水层
1323.46875,100.5084,9.146,27.0451,2.1056,80.4591,4.3262,5.7192,6.8674,7.5672,4.8051,5.0522,8.2978,7.9927,7.5065,18.8286,75.4153,水层
1323.5,100.308,9.0908,26.7568,2.11,78.922,4.3766,5.7311,7.24,6.9905,5.023,5.194,8.1759,7.9632,7.4512,18.4135,75.1832,水层
1323.53125,100.1076,9.0508,26.5646,2.1158,77.7904,4.4142,5.7937,7.5997,6.2093,5.2119,5.3397,8.0857,7.9046,7.4512,18.0076,74.964,水层
1323.5625,99.8671,9.0209,26.2403,2.1224,76.0139,4.477,5.8188,7.9852,5.5816,5.3092,5.4591,7.9669,7.9045,7.4512,17.6104,74.7707,水层
1323.59375,99.7067,8.9961,25.9399,2.13,74.5598,4.527,5.8433,8.3066,5.0686,5.4886,5.5501,7.8354,7.9045,7.4236,17.3825,74.5773,水层
1323.625,99.5664,8.9712,25.7477,2.1354,72.7852,4.5264,5.8552,8.6409,4.6709,5.6636,5.6636,7.7346,7.8608,7.4236,17.1572,74.4094,水层
1323.65625,99.2458,8.9565,25.5796,2.1426,71.251,4.5509,5.8158,8.834,4.2986,5.8118,5.7367,7.5648,7.8463,7.369,17.0291,74.2415,水层
1323.6875,99.1054,8.9417,25.4234,2.1486,70.1166,4.55,5.7768,8.9503,4.0285,6.0416,5.8214,7.4813,7.8029,7.3012,17.027,74.0732,水层
1323.71875,98.8449,8.9118,25.2912,2.1534,69.7035,4.5491,5.7119,8.8231,3.7713,6.1311,5.8422,7.5647,7.7312,7.2208,17.1207,73.9435,水层
1323.75,98.6044,8.887,25.171,2.1584,70.3331,4.5228,5.66,8.6318,3.5651,6.1757,5.852,7.6633,7.6743,7.1544,17.5033,73.8907,水层
1323.78125,98.384,8.8571,25.1229,2.162,71.2032,4.4964,5.6208,8.4661,3.3971,6.1745,5.8507,7.7919,7.5618,7.0495,17.8939,73.876,水层
