Depth,CAL,CGR,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,POTA,RHOB,SFLU,SGR,SP,THOR,TT1,TT2,TT3,TT4,URAN,result
1674.34375,9.2848,55.3751,0.2019,72.8704,112.9837,8.1187,6.9453,13.4709,13.7191,0.8924,39.7573,67.9864,0.1089,3.0916,0.0253,2.5053,7.0469,93.5226,-51.3372,4.8479,512.7488,377.6241,507.1687,359.7057,5.3465,差气层
1674.375,9.211,50.2807,0.2046,70.8545,106.107,8.3882,7.6189,17.5188,15.3632,0.8924,37.0991,67.9864,0.1105,3.119,0.0223,2.4937,6.7098,84.7403,-51.8429,4.4234,511.9929,376.0534,505.6097,358.1319,4.8297,差气层
1674.40625,9.1099,45.2986,0.1968,68.5392,97.2309,8.651,8.4186,24.1524,19.7984,0.8933,34.9354,67.9956,0.1132,3.1645,0.0192,2.4832,7.0852,76.067,-52.1928,4.1475,511.6237,372.903,503.661,354.9815,4.3124,差气层
1674.4375,9.0671,41.3103,0.1805,67.302,89.4133,8.9057,9.3701,30.5632,28.9886,0.8933,32.6,67.9956,0.1158,3.2195,0.0171,2.4727,8.3273,69.7529,-52.5035,3.8534,509.2823,368.5539,502.8874,352.2297,3.9971,差气层
1674.46875,8.9931,38.8152,0.1513,65.6457,82.478,9.1514,10.1859,36.9507,36.4821,0.8933,31.6064,67.9956,0.1192,3.2888,0.0166,2.463,10.5816,66.9844,-52.696,3.5317,507.7145,360.2425,500.9298,350.653,3.9853,差气层
1674.5,8.8919,36.3201,0.1219,64.4688,75.7195,9.5241,11.0326,43.7871,43.1529,0.8933,30.4212,67.9956,0.1225,3.3582,0.0161,2.4532,13.643,64.2158,-52.6144,3.1842,505.7599,357.8657,498.9723,348.2997,3.9735,差气层
1674.53125,8.8608,35.2636,0.0947,63.9512,73.3134,9.9843,11.8633,50.1212,49.1258,0.8942,29.4405,67.9639,0.1235,3.5661,0.0166,2.4514,35.5733,64.7307,-52.4938,2.8316,503.4008,350.3485,496.6249,345.545,4.1672,差气层
1674.5625,8.7323,34.2077,0.0764,64.1733,71.8483,10.5237,13.1323,57.0572,54.0196,0.8942,28.4397,67.9639,0.1245,3.774,0.017,2.4496,36.2907,65.2471,-52.2545,2.4848,500.649,348.3674,494.6732,343.1917,4.3609,差气层
1674.59375,8.6895,32.5872,0.066,64.6942,70.8525,11.44,14.0699,52.1872,58.2213,0.8942,27.224,67.9639,0.1252,3.9009,0.0165,2.4486,44.3907,65.3668,-51.8987,2.2217,498.2899,344.0241,493.1054,340.0471,4.5942,差气层
1674.625,8.6351,30.5895,0.0607,65.4154,69.6223,12.3685,14.5899,49.1461,55.533,0.8942,26.6846,67.9639,0.1258,3.9738,0.0152,2.4476,51.5141,65.2215,-51.2284,2.0143,495.544,340.0765,491.9509,338.0836,4.8538,差气层
1674.65625,8.5887,28.9295,0.0522,66.0165,70.9809,13.642,15.6316,46.6215,52.2034,0.8942,27.1267,67.9709,0.1259,4.0153,0.0141,2.448,55.5943,65.3271,-50.5984,2.0152,493.5776,337.7262,490.7817,337.3247,5.1013,差气层
1674.6875,8.5618,28.6242,0.0432,66.5575,71.9846,14.6692,16.6869,44.2262,49.9737,0.895,27.7276,67.9709,0.126,3.9309,0.0136,2.4483,60.1066,66.4386,-49.9282,2.0855,490.8288,336.9555,488.8388,337.3658,5.2999,差气层
1674.71875,8.5312,28.3189,0.0335,67.1985,73.9901,15.7164,17.4931,41.1212,47.0615,0.895,28.393,67.9709,0.1253,3.8465,0.013,2.4488,62.102,67.5502,-49.415,2.26,489.6595,335.8039,488.4667,337.7909,5.4984,差气层
1674.75,8.512,28.3767,0.027,68.0399,76.406,16.416,18.3382,37.8862,43.5187,0.895,29.4477,67.9709,0.1246,3.6787,0.0127,2.4494,63.0097,70.0185,-48.9808,2.4037,488.4991,335.4406,487.3093,339.825,5.8537,差气层
1674.78125,8.4891,28.5255,0.0228,68.7008,78.6451,17.0536,19.259,34.6521,40.3147,0.895,31.0468,67.9793,0.1236,3.4899,0.0126,2.4498,58.0667,72.827,-48.3889,2.5667,487.7432,335.8656,488.1418,343.4622,6.2482,差气层
1674.8125,8.4777,29.1313,0.0246,69.6019,81.8848,17.4289,19.9346,31.2351,35.8142,0.8958,32.7324,67.9793,0.1227,3.316,0.0125,2.4502,53.9016,76.941,-47.9544,2.8378,488.1742,336.3112,490.9672,344.6726,6.7442,差气层
1674.84375,8.4667,30.4239,0.0323,70.2225,85.7125,17.4603,20.6337,27.7981,32.8163,0.8958,35.4014,67.9793,0.1217,3.1644,0.0123,2.4497,48.7797,83.0169,-47.5202,3.1929,490.2083,337.1437,494.1912,351.1147,7.3929,差气层
1674.875,8.4671,31.7166,0.0439,71.3032,90.3635,16.7158,20.4842,24.6943,28.941,0.8958,37.8715,67.9793,0.1207,3.0128,0.0121,2.4493,44.3855,89.0929,-47.0852,3.6041,493.8279,338.3777,498.6169,353.1252,8.0415,差气层
1674.90625,8.4912,34.0707,0.0633,72.3637,94.8381,15.4045,18.1713,21.9368,26.0865,0.8926,40.5879,67.9867,0.1201,3.1059,0.0146,2.448,38.8766,98.9272,-46.8075,3.2367,498.6551,339.9984,503.8397,356.3462,9.0503,差气层
1674.9375,8.551,36.4253,0.082,74.1439,102.3706,14.1446,16.296,18.8582,22.467,0.8926,41.4865,67.9867,0.1196,3.1991,0.0171,2.4466,34.8645,108.7632,-46.6078,2.9411,503.8691,342.8297,507.852,362.3838,10.0593,差气层
1674.96875,8.5669,39.7188,0.0998,75.6437,112.6091,12.8005,14.3513,16.39,19.9946,0.8926,41.7916,67.9867,0.1194,3.3093,0.0195,2.4447,31.6089,117.3788,-46.4869,2.7537,507.8873,347.2582,512.2717,364.3973,10.813,差气层
1675.0,8.6027,43.6396,0.1219,77.6035,120.3769,11.7323,13.4433,13.835,17.665,0.8926,39.4435,67.9947,0.1193,3.4308,0.022,2.4427,28.1929,125.1792,-46.3656,2.7127,514.3088,350.4763,518.2947,368.0228,11.3964,差气层
1675.03125,8.6546,47.5188,0.1465,79.6632,128.0861,10.6754,12.0559,12.2903,15.158,0.8894,41.44,67.9947,0.1204,3.4894,0.0246,2.4392,23.684,132.196,-46.3242,2.7124,517.5299,354.8989,522.3129,372.4484,11.8678,差气层
1675.0625,8.6706,51.2316,0.177,81.3029,136.7947,9.7667,11.1101,10.604,12.7253,0.8894,38.3182,67.9947,0.1215,3.2955,0.0278,2.4356,19.0827,136.0697,-46.2423,2.7287,523.1543,359.7172,527.1313,374.4648,11.8903,差气层
1675.09375,8.6905,54.9444,0.2103,82.863,142.0923,9.0661,10.3132,9.3857,10.5667,0.8894,36.3463,67.9947,0.1235,3.1016,0.0309,2.4319,16.1183,139.9435,-46.1602,2.9264,527.577,364.5385,531.1525,380.095,11.9129,差气层
1675.125,8.7543,58.2291,0.2453,84.4031,146.9783,8.4005,9.3332,8.3987,8.9359,0.8894,33.7921,67.9621,0.1255,2.9852,0.0316,2.4282,13.0104,139.3464,-46.274,3.2452,531.1937,368.1551,535.1736,385.3266,11.3689,差气层
1675.15625,8.7742,60.4235,0.2686,85.2839,150.1589,7.9986,8.5543,7.5707,8.1138,0.8894,31.8791,67.9621,0.1287,2.8882,0.0318,2.4242,10.1458,137.6286,-46.389,3.9197,534.8134,374.1809,539.1978,387.7446,10.6829,差气层
1675.1875,8.7941,61.9582,0.2814,85.7056,150.7515,7.5198,7.5884,7.0647,7.4756,0.8903,30.0746,67.9621,0.1319,2.8345,0.0315,2.4202,8.7108,135.9984,-46.6207,4.6981,538.8375,377.8005,541.6306,390.1596,10.0666,差气层
