Depth,AC,CAL,CALI,GR,HAC,LLD,LLS,MINV,MNOR,MSFL,NPHI,PD,RHOB,RILD,RILM,RSFL,SP,result
806.125,317.1085,8.518,8.518,82.4564,343.2228,5.4139,5.414,5.2664,5.0266,5.5757,0.2865,193.482,2.1299,3.2693,3.0936,4.3796,66.6266,水层
806.15625,319.2574,8.493,8.493,83.2735,341.9636,5.2375,5.2664,5.0465,5.0266,5.3444,0.2865,190.8783,2.1343,3.2875,3.1167,4.2136,66.6654,水层
806.1875,321.5319,8.4723,8.4723,84.406,340.7036,4.9653,5.1607,4.7467,4.7068,5.1416,0.2871,189.3463,2.1518,3.3121,3.1399,4.1141,66.6593,水层
806.21875,325.1963,8.4557,8.4557,85.6636,339.444,4.8389,4.9466,4.4469,4.5269,5.0291,0.2881,185.5679,2.1672,3.3306,3.1692,3.9948,66.6561,水层
806.25,328.2291,8.4474,8.4474,86.1668,337.6811,4.6638,4.8206,4.4469,4.4069,4.874,0.2894,184.9552,2.1752,3.3679,3.181,3.9583,66.5655,水层
806.28125,331.2614,8.4267,8.4267,87.8645,337.6811,4.6039,4.7152,4.3069,4.3868,4.8114,0.2902,185.311,2.1912,3.4119,3.2284,4.032,66.5597,水层
806.3125,334.0409,8.4101,8.4101,88.1158,337.3049,4.5698,4.595,4.2668,4.3867,4.6802,0.2911,186.3298,2.204,3.4119,3.2705,4.0995,66.5597,水层
806.34375,337.579,8.3976,8.3976,89.2467,337.3078,4.6541,4.5527,4.2867,4.3066,4.6031,0.2918,188.1645,2.2228,3.4564,3.2948,4.2534,66.5532,水层
806.375,339.8531,8.3893,8.3893,89.5606,338.4477,4.8546,4.6111,4.2465,4.2665,4.6708,0.2927,189.847,2.23,3.4757,3.3254,4.4375,66.5504,水层
806.40625,342.76,8.377,8.377,90.1867,339.0802,5.3114,4.854,4.0866,4.1666,5.0358,0.2927,192.2437,2.2428,3.5341,3.3751,4.681,66.418,水层
806.4375,344.1508,8.377,8.377,90.4374,339.8394,5.7159,5.1004,3.8667,3.9267,6.129,0.2932,194.9466,2.2546,3.5473,3.4064,4.8837,66.4152,水层
806.46875,345.9211,8.3729,8.3729,90.6866,341.1052,6.2422,5.4088,3.7268,3.8067,6.4877,0.2932,198.0067,2.2594,3.5605,3.4445,5.0763,66.3666,水层
806.5,344.2823,8.3814,8.3814,90.3679,340.9806,6.9179,5.6626,3.6069,3.5669,7.2032,0.2932,203.1081,2.2664,3.5609,3.5022,5.296,66.3605,水层
806.53125,341.8863,8.3814,8.3814,89.7957,336.6927,7.555,5.9173,3.347,3.4269,7.7946,0.2931,205.7603,2.2708,3.561,3.5413,5.68,66.3605,水层
806.5625,340.3734,8.3857,8.3857,89.3513,335.0531,8.0266,6.4149,3.287,3.3869,8.3268,0.2927,207.9023,2.2782,3.5481,3.5481,6.2511,66.2703,水层
806.59375,338.6083,8.3941,8.3941,88.7802,333.4135,8.6537,6.9545,3.1669,3.2669,8.8955,0.2927,209.7382,2.2816,3.5223,3.5287,6.4262,66.225,水层
806.625,336.8436,8.4193,8.4193,88.0192,330.7652,9.1938,7.4019,3.0669,3.1269,9.2957,0.2927,211.4721,2.2864,3.4774,3.503,6.7539,66.1768,水层
806.65625,335.0785,8.4193,8.4193,87.2588,329.0006,9.6074,7.792,3.0469,3.0268,9.8938,0.2926,213.308,2.2894,3.4331,3.4648,7.0204,66.1732,水层
806.6875,333.6922,8.4361,8.4361,86.4347,327.866,9.9295,8.1575,3.0267,3.0068,10.2633,0.2932,214.4806,2.2922,3.3769,3.4269,7.433,66.1279,水层
806.71875,332.1796,8.4445,8.4445,85.5476,326.9856,10.3192,8.4001,3.0465,3.0067,10.6268,0.2934,214.7347,2.2934,3.3461,3.3957,7.8409,66.0786,水层
806.75,331.1716,8.4655,8.4655,85.1037,326.6089,10.5871,8.6977,3.0464,3.0264,10.963,0.2952,214.3764,2.2882,3.2974,3.3524,7.9574,66.0722,水层
806.78125,330.0378,8.4864,8.4864,83.9642,326.2343,10.8815,9.0717,3.0663,3.0463,11.2064,0.2958,213.1504,2.2746,3.2614,3.3097,8.3633,66.0722,水层
806.8125,329.5356,8.4948,8.4948,82.8872,326.3618,11.0017,9.1383,3.186,3.2059,11.4134,0.2966,211.312,2.268,3.2495,3.2436,8.6772,66.1494,水层
806.84375,330.8017,8.5158,8.5158,81.2407,326.9959,11.2045,9.2728,3.2857,3.3856,11.6238,0.2982,207.1765,2.2586,3.2259,3.1788,8.9204,66.1462,水层
806.875,331.8137,8.5242,8.5242,81.2407,327.8813,11.3486,9.4439,3.5452,3.4854,11.7087,0.3003,203.6536,2.2464,3.2083,3.1324,9.2895,66.1818,水层
806.90625,332.9523,8.541,8.541,80.0376,329.0209,11.4734,9.5829,3.6649,3.7448,11.5792,0.3012,200.3857,2.2237,3.2085,3.0982,9.4624,66.1782,水层
806.9375,333.9647,8.5495,8.5495,79.4044,330.16,11.409,9.6707,3.9045,3.8845,11.43,0.3022,196.7605,2.2035,3.2028,3.0419,9.5854,66.217,水层
806.96875,336.242,8.5537,8.5537,77.6312,330.9188,11.3039,9.7412,4.0242,4.0242,11.3455,0.3034,193.2875,2.1711,3.209,3.0142,9.6743,66.2134,水层
807.0,336.242,8.5663,8.5663,77.6312,336.3529,11.1174,9.651,4.2637,4.1639,11.0152,0.3058,191.8573,2.1477,3.2092,2.9978,9.7103,66.2066,水层
807.03125,337.1277,8.5748,8.5748,76.5548,336.3529,10.9746,9.3701,4.4234,4.3036,11.0152,0.3069,189.0484,2.1347,3.2212,2.998,9.6749,66.1613,水层
807.0625,338.2672,8.579,8.579,75.2249,340.6495,10.7538,9.2328,4.5831,4.603,10.7934,0.3082,183.6345,2.1259,3.2332,3.0147,9.5337,66.1156,水层
807.09375,339.4058,8.5832,8.5832,74.7816,343.0503,10.5378,9.0974,4.7428,4.7227,10.694,0.3094,183.328,2.1199,3.2513,3.0372,9.36,66.0674,水层
807.125,341.0487,8.5833,8.5833,73.8308,345.4516,10.3831,8.9641,5.0022,4.8624,10.5176,0.3118,181.1824,2.1148,3.2756,3.0826,9.1054,65.9776,水层
807.15625,344.8402,8.5918,8.5918,72.9431,350.2536,10.3066,8.7192,5.122,5.0022,10.3062,0.3131,178.8835,2.1112,3.2878,3.0997,8.8089,65.9743,水层
807.1875,347.3672,8.596,8.596,72.7522,350.2536,10.0994,8.639,5.3016,5.2616,10.1926,0.3144,176.5336,2.1066,3.3185,3.1401,8.6484,65.9714,水层
807.21875,350.5251,8.5961,8.5961,72.5591,352.2766,9.8419,8.5752,5.5012,5.4013,9.9694,0.3158,173.8262,2.1048,3.3309,3.181,8.5065,65.9682,水层
807.25,353.9366,8.592,8.592,72.6794,356.0674,9.6798,8.4495,5.6409,5.5011,9.751,0.3187,169.7911,2.1028,3.3681,3.2344,8.1993,65.878,水层
