Depth,AC,CAL,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MSFL,NPHI,PD,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1414.0625,241.91,8.893,0.076,79.091,82.257,233.434,6.959,7.44,12.849,12.653,18.623,0.184,133.255,4.214,2.407,10.005,-6.991,561.507,392.464,561.507,398.574,水层
1414.125,239.709,8.678,0.067,77.841,80.054,225.469,7.161,7.73,13.866,12.972,18.098,0.169,135.025,4.111,2.42,12.842,-7.149,557.434,392.464,557.434,398.574,水层
1414.1875,239.622,8.618,0.056,76.591,79.676,219.965,7.583,8.186,13.567,13.475,16.146,0.158,142.696,4.014,2.433,15.233,-7.305,553.36,388.391,553.36,394.501,水层
1414.25,238.299,8.598,0.05,75.315,80.353,227.365,7.804,8.424,12.974,13.147,25.011,0.151,150.284,4.008,2.446,17.58,-7.371,551.324,386.354,551.324,394.501,水层
1414.3125,237.801,8.595,0.046,74.385,81.234,239.973,8.264,8.836,12.382,12.668,24.077,0.149,156.451,4.007,2.456,18.976,-7.337,545.214,382.281,545.214,390.428,水层
1414.375,239.868,8.636,0.039,74.695,84.717,254.175,8.424,9.093,11.683,12.189,18.238,0.15,160.369,4.066,2.453,18.265,-7.52,545.214,380.244,545.214,388.391,水层
1414.4375,241.08,8.656,0.035,74.798,86.852,267.284,8.752,9.447,11.14,11.795,14.541,0.154,166.916,4.163,2.452,16.738,-7.565,541.141,374.134,541.141,384.318,水层
1414.5,239.791,8.658,0.033,75.109,88.71,282.157,9.055,9.629,11.064,11.603,12.948,0.168,166.071,4.178,2.451,15.383,-7.526,541.141,372.098,541.141,380.244,水层
1414.5625,237.896,8.682,0.033,75.212,91.238,281.279,9.388,10.101,10.93,11.572,11.795,0.175,163.956,4.221,2.451,14.029,-7.329,539.104,370.061,539.104,378.208,水层
1414.625,235.973,8.698,0.032,75.419,92.023,272.706,9.721,10.394,11.035,11.572,5.615,0.182,159.686,4.217,2.456,13.073,-7.371,539.104,370.061,539.104,378.208,水层
1414.6875,235.323,8.694,0.031,75.212,91.092,244.164,10.101,10.494,11.247,11.59,5.669,0.181,146.419,4.173,2.463,12.583,-7.354,537.067,372.098,537.067,380.244,水层
1414.75,234.728,8.699,0.031,75.212,90.317,226.937,10.022,10.494,11.35,11.615,7.735,0.179,143.583,4.136,2.472,12.345,-7.32,537.067,374.134,537.067,382.281,水层
1414.8125,235.675,8.679,0.031,75.154,88.513,226.232,9.848,10.296,11.464,11.64,16.163,0.17,141.519,4.096,2.48,13.094,-7.07,537.067,378.208,537.067,384.318,水层
1414.875,240.473,8.674,0.031,75.109,86.686,227.946,9.674,10.198,11.572,11.664,35.229,0.161,144.947,4.059,2.488,13.807,-6.874,537.067,380.244,537.067,386.354,水层
1414.9375,246.881,8.653,0.032,75.212,85.007,230.617,9.49,9.909,11.245,11.683,33.913,0.154,150.824,3.996,2.498,14.52,-6.644,539.104,384.318,539.104,388.391,水层
