Wellname,Depth,X,Y,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long291,2055.3925,5143500.3,21613750.3,123.125,-10.5391,11.2031,-99999,23.68,2.2694,6.8734,6.4432,4.4336,1
long291,2055.42375,5143500.3,21613750.3,123.6875,-10.7031,10.2344,-99999,26.86,2.2887,6.4259,6.1781,4.8672,1
long291,2055.455,5143500.3,21613750.3,126.6875,-10.7969,9.8047,-99999,26.44,2.3596,6.1616,5.973,4.9023,1
long291,2055.48625,5143500.3,21613750.3,130.75,-10.9922,9.4688,-99999,23.75,2.4389,6.6649,6.5031,4.4531,1
long291,2055.5175,5143500.3,21613750.3,128.625,-10.9375,9.1719,-99999,21.46,2.4666,7.3001,7.1578,3.957,1
long291,2055.54875,5143500.3,21613750.3,125.1875,-10.8828,9.0938,-99999,19.51,2.4806,7.926,7.7768,3.6895,1
long291,2055.58,5143500.3,21613750.3,123.3125,-10.8359,9.2734,-99999,21.27,2.4805,7.9698,7.8312,3.5437,1
long291,2055.61125,5143500.3,21613750.3,117.8726,-10.5934,9.5231,-99999,22.65,2.4637,7.6512,7.5699,3.4375,1
long291,2055.6425,5143500.3,21613750.3,116.375,-10.3203,9.3359,-99999,23.89,2.4729,7.5008,7.3722,3.252,1
long291,2055.67375,5143500.3,21613750.3,115.125,-9.6172,9.3047,-99999,22.28,2.5245,7.8155,7.6388,3.127,1
long291,2055.705,5143500.3,21613750.3,113.6875,-9.625,9.4375,-99999,20.58,2.5597,8.7254,8.5277,2.9551,1
long291,2055.73625,5143500.3,21613750.3,108.1704,-9.5703,9.0234,-99999,19.06,2.5645,10.1597,9.9504,2.8301,1
long291,2055.7675,5143500.3,21613750.3,97.5,-9.5781,9.0234,-99999,17.11,2.5938,13.6582,12.8776,2.7344,4
long291,2055.79875,5143500.3,21613750.3,86.5625,-9.7656,9.0312,-99999,16.19,2.6164,18.6279,17.2641,2.8242,4
long291,2055.83,5143500.3,21613750.3,81.6875,-10.0234,9.0312,-99999,16.24,2.5578,21.5632,19.9089,2.6934,4
long291,2055.86125,5143500.3,21613750.3,79.0625,-10.125,9.0312,-99999,16.57,2.5073,23.3831,21.813,2.5508,4
long291,2055.8925,5143500.3,21613750.3,80.75,-10.2578,9.0312,-99999,16.31,2.4865,21.84,20.679,2.3574,4
long291,2055.92375,5143500.3,21613750.3,79.75,-10.4766,9.0312,-99999,15.7,2.4848,22.4435,21.3051,2.4746,4
long291,2055.955,5143500.3,21613750.3,75.8125,-10.7344,9.0312,-99999,15.14,2.4913,25.6922,24.2621,2.6641,4
long291,2055.98625,5143500.3,21613750.3,73.375,-10.8047,9.0312,-99999,14.03,2.4897,31.3674,28.8519,2.8196,4
long291,2056.0175,5143500.3,21613750.3,68.0733,-10.9376,9.0313,-99999,12.38,2.5153,30.9787,28.3076,3.1621,4
long291,2056.04875,5143500.3,21613750.3,74.8125,-11.0078,9.0938,-99999,10.03,2.5251,18.2274,16.9533,3.9121,4
long291,2056.08,5143500.3,21613750.3,86.625,-10.8281,9.2266,-99999,10.54,2.5133,13.2352,12.3109,5.2539,4
long291,2056.11125,5143500.3,21613750.3,105.9375,-10.7812,10.0781,-99999,12.96,2.4543,10.1193,9.7931,6.7305,4
long291,2056.1425,5143500.3,21613750.3,116.19,-10.6323,10.7102,-99999,18.72,2.4295,7.6408,7.5003,7.4258,4
long291,2056.17375,5143500.3,21613750.3,117.75,-10.3281,10.2734,-99999,22.32,2.4861,7.611,7.3513,8.4766,4
long291,2056.205,5143500.3,21613750.3,115.3125,-10.3281,9.3984,-99999,23.5,2.5332,8.4727,8.0613,9.0781,4
long291,2056.23625,5143500.3,21613750.3,113.875,-10.2109,9.3594,-99999,21.17,2.5692,9.1624,8.8172,9.5781,4
long291,2056.2675,5143500.3,21613750.3,116.25,-9.9062,9.6172,-99999,18.81,2.6138,9.8457,9.5835,9.6641,4
long291,2056.29875,5143500.3,21613750.3,116.1875,-10.1953,9.1406,-99999,16.99,2.6409,11.3192,10.9883,9.6719,4
long291,2056.33,5143500.3,21613750.3,115,-10.3359,9.0078,-99999,17.26,2.6133,11.9417,11.5719,10.1406,4
long291,2056.36125,5143500.3,21613750.3,110.25,-10.4688,9.0469,-99999,16.94,2.6639,11.8635,11.4223,12.0469,4
long291,2056.3925,5143500.3,21613750.3,105.375,-10.7969,9.0781,-99999,16.12,2.6487,11.1846,10.7832,13.9907,4
long291,2056.42375,5143500.3,21613750.3,105.5665,-10.8359,9.297,-99999,15.59,2.5805,10.6689,10.2839,15.9766,4
long291,2056.455,5143500.3,21613750.3,108.0625,-10.8516,9.3906,-99999,16.41,2.5618,9.9081,9.4558,16.2969,4
long291,2056.48625,5143500.3,21613750.3,115.8125,-10.8594,9.2734,-99999,17.08,2.5743,9.4935,9.0086,17.7344,4
long291,2056.5175,5143500.3,21613750.3,114.6875,-10.8438,9.5078,-99999,17.26,2.5727,9.65,9.0343,17.25,4
long291,2056.54875,5143500.3,21613750.3,115.1766,-10.8206,10.1398,-99999,17.86,2.5474,9.8629,9.2058,16.5312,4
long291,2056.58,5143500.3,21613750.3,108.375,-10.9922,9.6328,-99999,18.54,2.541,10.1797,9.5841,16.5312,4
long291,2218.0175,5143500.3,21613750.3,120.75,0.2969,8.8906,-99999,21.88,2.5892,6.234,5.9737,11.8828,4
long291,2218.04875,5143500.3,21613750.3,113.25,0.3037,8.8828,-99999,19.81,2.5933,6.7616,6.503,9.8438,4
long291,2218.08,5143500.3,21613750.3,105.1875,0.4985,8.8828,-99999,18.01,2.6233,7.5298,7.1535,8.5703,4
long291,2218.11125,5143500.3,21613750.3,103.5625,0.5703,8.875,-99999,16.76,2.6324,8.0854,7.6908,8.2188,4
long291,2218.1425,5143500.3,21613750.3,99.375,0.5806,8.8828,-99999,16.98,2.6311,8.2679,7.9327,8.3281,4
long291,2218.17375,5143500.3,21613750.3,97.5,0.5918,8.8984,-99999,16.8,2.6412,8.2624,7.9767,8.8438,4
long291,2218.205,5143500.3,21613750.3,94.3173,0.7302,8.9062,-99999,17.26,2.6402,7.998,7.7695,9.0391,4
long291,2218.23625,5143500.3,21613750.3,97.3125,0.8701,8.8984,-99999,16.43,2.6401,8.1339,7.7845,8.8672,4
long291,2218.2675,5143500.3,21613750.3,98.6875,0.9814,8.8828,-99999,16.86,2.6422,7.9883,7.5799,8.7895,4
long291,2218.29875,5143500.3,21613750.3,96.125,1.1523,8.8906,-99999,18.25,2.6288,7.603,7.2003,10.8359,4
long291,2218.33,5143500.3,21613750.3,98.625,1.2324,8.9141,-99999,18.36,2.6351,6.9947,6.7338,12.7109,4
long291,2218.36125,5143500.3,21613750.3,102.25,1.373,8.9297,-99999,17.37,2.6297,6.8441,6.6596,13.5625,4
long291,2218.3925,5143500.3,21613750.3,104.8125,1.3906,8.9375,-99999,14.74,2.6344,7.447,7.2424,11.5078,4
long291,2218.42375,5143500.3,21613750.3,102.3125,1.2539,8.9375,-99999,14.37,2.606,8.1244,7.7601,10.8281,4
long291,2218.455,5143500.3,21613750.3,97.5625,1.1475,8.9375,-99999,13.92,2.5931,9.6103,9.0034,11.0234,4
long291,2218.48625,5143500.3,21613750.3,93.375,0.8989,8.9375,-99999,13.41,2.5946,10.209,9.512,10.7266,4
long291,2218.5175,5143500.3,21613750.3,96.8125,0.8398,8.9688,-99999,13.52,2.5913,9.0655,8.5628,9.5469,4
long291,2218.54875,5143500.3,21613750.3,104.25,0.8887,9.0078,-99999,15.14,2.5781,7.5872,7.3348,7.7461,4
long291,2218.58,5143500.3,21613750.3,111.0625,0.8726,8.9844,-99999,18.18,2.5923,6.8115,6.635,6.793,4
long291,2218.61125,5143500.3,21613750.3,107.1815,0.8545,8.9688,-99999,20.1,2.6053,7.0236,6.7541,7.1094,4
long291,2218.6425,5143500.3,21613750.3,103.4375,0.8652,8.9688,-99999,19.34,2.579,7.9788,7.3778,8.6641,4
long291,2218.67375,5143500.3,21613750.3,104.1875,0.8457,8.9531,-99999,17.37,2.5249,8.132,7.3927,10.2191,4
long291,2218.705,5143500.3,21613750.3,112.8125,0.7925,8.9453,-99999,16.9,2.515,7.8948,7.1666,11.2031,4
long291,2218.73625,5143500.3,21613750.3,119.6875,0.6157,8.9766,-99999,18.03,2.5415,6.7796,6.3293,11.5078,4
long291,2218.7675,5143500.3,21613750.3,127.375,0.5498,9,-99999,20.09,2.4893,5.598,5.181,12.9219,4
long291,2218.79875,5143500.3,21613750.3,131,0.4028,9.0234,-99999,23.06,2.4301,4.9993,4.5393,13.7812,4
long291,2218.83,5143500.3,21613750.3,136.25,0.2417,9.1094,-99999,26.59,2.3536,4.4328,4.0731,17.0625,4
long291,2218.86125,5143500.3,21613750.3,135.5,-0.0586,8.8047,-99999,28.89,2.2968,4.0438,3.7703,18.625,4
long291,2218.8925,5143500.3,21613750.3,139.1342,-0.1743,8.7893,-99999,29.34,2.2996,3.9175,3.639,17.0312,4
long291,2218.92375,5143500.3,21613750.3,144.875,-0.1992,8.8906,-99999,30.54,2.3756,3.9497,3.6814,17.9375,4
long291,2218.955,5143500.3,21613750.3,148.5,-0.2544,8.8359,-99999,31.01,2.4055,3.987,3.7475,18.875,4
long291,2218.98625,5143500.3,21613750.3,146.5,-0.418,8.9922,-99999,31.26,2.3974,3.8938,3.6876,21.4531,4
long291,2221.83,5143500.3,21613750.3,119.4375,6.3125,8.6953,-99999,21.18,2.5882,5.8459,5.5697,28.6562,4
long291,2221.86125,5143500.3,21613750.3,115.75,6.3242,8.5859,-99999,20.62,2.6035,6.4088,6.1493,19.2188,4
long291,2221.8925,5143500.3,21613750.3,108.875,6.3359,8.5,-99999,18.99,2.6073,7.3018,6.8919,15.6562,4
long291,2221.92375,5143500.3,21613750.3,101.6875,6.3125,8.5859,-99999,17.36,2.6173,7.1907,6.8797,13.6192,4
long291,2221.955,5143500.3,21613750.3,100.375,6.3203,8.5859,-99999,16.31,2.6091,7.1395,6.9788,15.8331,4
long291,2221.98625,5143500.3,21613750.3,99.875,6.332,8.5703,-99999,17.11,2.6169,7.8913,7.6552,19.6562,4
long291,2222.0175,5143500.3,21613750.3,98,6.3438,8.5625,-99999,17.04,2.6325,8.5429,8.0665,23.8906,4
long291,2222.04875,5143500.3,21613750.3,91.1875,6.3203,8.4453,-99999,15.47,2.6432,8.0938,7.5339,20.7656,4
long291,2222.08,5143500.3,21613750.3,94.875,6.332,8.4531,-99999,16.08,2.6194,7.0399,6.6957,19.9531,4
long291,2222.11125,5143500.3,21613750.3,109,6.3438,8.5,-99999,20.02,2.6011,5.7266,5.6901,20.25,4
long291,2222.1425,5143500.3,21613750.3,129.7708,6.3203,8.4687,-99999,24.88,2.5911,4.9445,4.8619,25.125,4
long291,2222.17375,5143500.3,21613750.3,142.75,6.3281,8.3828,-99999,26.34,2.6049,5.4977,5.2845,20.5,4
long291,2222.205,5143500.3,21613750.3,141.625,6.3398,8.5,-99999,24.78,2.6407,6.6785,6.3675,15.1953,4
long291,2222.23625,5143500.3,21613750.3,133.25,6.3203,8.6406,-99999,21.07,2.6656,8.0965,7.901,11.25,4
long291,2222.2675,5143500.3,21613750.3,116.5625,6.3281,8.6562,-99999,17.32,2.6572,9.0125,8.7821,10.5938,4
