wellname,Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,lith
gu461,1535.9,86.205,8.728,22.683,0.033,2.391,83.607,296.504,8.806,8.466,8.893,8.082,9.524,8.093,-53.087,5
gu461,1535.95,86.443,8.764,22.918,0.054,2.393,84.486,289.499,8.333,7.908,9.041,8.199,9.298,7.798,-52.957,5
gu461,1536,86.68,8.786,23.153,0.075,2.394,85.889,285.186,7.989,7.348,9.19,8.315,9.061,7.498,-52.779,5
gu461,1536.05,86.9,8.808,23.15,0.094,2.397,87.292,283.61,7.645,7.048,9.434,8.576,8.823,7.197,-52.601,5
gu461,1536.1,87.12,8.805,23.147,0.112,2.4,87.554,282.133,7.611,6.748,9.677,8.837,8.791,7.089,-52.413,5
gu461,1536.15,87.021,8.802,22.725,0.113,2.407,87.815,279.562,7.578,6.819,9.974,9.229,8.759,6.981,-52.224,5
gu461,1536.2,86.923,8.783,22.303,0.113,2.413,85.834,278.234,7.903,6.89,10.271,9.62,9.368,7.13,-52.107,5
gu461,1536.25,86.257,8.764,21.475,0.097,2.422,83.849,281.114,8.229,7.459,10.565,10.078,9.979,7.278,-51.991,5
gu461,1536.3,85.59,8.74,20.647,0.08,2.432,80.037,285.135,9.012,8.03,10.859,10.536,11.802,7.75,-52.034,5
gu461,1536.35,84.367,8.715,19.658,0.061,2.443,76.235,288.029,9.792,9.373,11.119,10.973,13.621,8.221,-52.077,5
gu461,1536.4,83.141,8.686,18.667,0.041,2.454,71.939,290.261,11.251,10.72,11.379,11.411,16.863,9.175,-52.333,5
gu461,1536.45,81.621,8.658,17.846,0.037,2.464,67.652,293.083,12.707,13.13,11.6,11.757,20.098,10.127,-52.588,5
gu461,1536.5,80.097,8.625,17.023,0.033,2.474,64.498,296.785,15.126,15.545,11.821,12.105,21.272,11.796,-53.055,5
gu461,1536.55,78.582,8.592,16.574,0.033,2.479,61.348,298.849,17.548,18.321,12.016,12.327,22.439,13.466,-53.522,5
gu461,1536.6,77.071,8.558,16.126,0.034,2.484,60.023,296.647,20.767,21.091,12.21,12.549,19.47,15.915,-54.147,5
gu461,1536.65,75.802,8.524,16.084,0.034,2.484,58.696,288.846,23.994,21.938,12.382,12.638,16.494,18.37,-54.774,5
gu461,1536.7,74.535,8.502,16.042,0.034,2.484,58.638,273.998,26.292,22.781,12.553,12.726,14.021,20.561,-55.469,5
gu461,1536.75,73.783,8.479,16.292,0.033,2.479,58.579,252.654,28.596,21.741,12.687,12.672,11.543,22.757,-56.165,5
gu461,1536.8,73.032,8.474,16.544,0.032,2.475,59.271,232.07,28.212,20.698,12.822,12.619,10.388,22.925,-56.829,5
gu461,1536.85,73.056,8.468,16.963,0.029,2.467,59.96,219.579,27.829,19.427,12.892,12.424,9.235,23.092,-57.492,5
gu461,1536.9,73.08,8.472,17.383,0.027,2.459,61.01,219.466,25.744,18.153,12.962,12.228,8.758,21.558,-58.027,5
gu461,1536.95,73.934,8.476,17.892,0.023,2.449,62.057,226.881,23.663,16.971,12.95,11.922,8.283,20.028,-58.561,5
gu461,1537,74.791,8.488,18.402,0.019,2.44,64.025,235.644,21.395,15.786,12.938,11.616,8.085,18.153,-58.888,5
gu461,1537.05,76.166,8.499,18.935,0.017,2.431,65.994,240.91,19.127,14.494,12.839,11.265,7.888,16.278,-59.215,5
gu461,1537.1,77.537,8.529,19.466,0.015,2.423,69.063,240.94,17.291,13.204,12.739,10.915,7.844,14.744,-59.282,5
gu461,1537.15,78.917,8.559,19.965,0.018,2.418,72.139,241.379,15.45,11.919,12.545,10.592,7.8,13.207,-59.349,5
gu461,1537.2,80.293,8.604,20.461,0.021,2.414,75.551,245.692,14.132,10.638,12.351,10.269,7.911,12.099,-59.144,5
gu461,1997.8292,74.4816,8.4639,16.6842,0.0065,2.4925,107.0469,250.1767,12.8852,10.497,8.7903,8.891,11.6099,10.7859,-34.8108,4
gu461,1997.8605,74.497,8.4619,16.7047,0.0081,2.4915,105.9764,250.8698,12.9622,10.4545,9.0698,9.0625,11.4945,10.8275,-34.9468,4
gu461,1997.8918,74.5234,8.4605,16.7118,0.0101,2.4905,104.9259,251.165,13.039,10.4161,9.3504,9.232,11.4097,10.8686,-35.0801,4
gu461,1997.9231,74.6015,8.4595,16.6545,0.011,2.4889,103.9959,251.0971,13.115,10.3951,9.6289,9.3899,11.4763,10.9032,-35.1982,4
gu461,1997.9544,74.7155,8.4585,16.5515,0.011,2.4875,103.1479,251.039,13.191,10.3867,9.9069,9.5399,11.6487,10.9332,-35.3062,4
gu461,1997.9857,74.8304,8.458,16.4481,0.011,2.4859,102.2966,250.9022,13.2673,10.3781,10.1865,9.6899,11.8219,10.9633,-35.4146,4
gu461,1998.017,74.8933,8.4585,16.3798,0.0099,2.4845,101.0153,250.7186,13.3243,10.4082,10.44,9.8188,12.166,10.9754,-35.5053,4
gu461,1998.0483,74.9129,8.4595,16.3412,0.0085,2.4829,99.3634,250.5915,13.3654,10.472,10.6723,9.9307,12.6559,10.9724,-35.5821,4
gu461,1998.0796,74.9324,8.4605,16.3032,0.0075,2.4809,97.7178,250.5345,13.4064,10.5355,10.9039,10.0423,13.1444,10.9694,-35.6586,4
gu461,1998.1109,74.9096,8.4616,16.2722,0.0059,2.4794,96.0032,250.4656,13.4333,10.6114,11.1147,10.1387,13.5698,10.9559,-35.7227,4
gu461,1998.1422,74.8416,8.4626,16.2494,0.0044,2.4779,94.2282,250.3396,13.4455,10.7007,11.3007,10.2173,13.9238,10.9317,-35.774,4
gu461,1998.1735,74.7646,8.4636,16.2284,0.0029,2.4759,92.4408,250.283,13.455,10.7927,11.4817,10.2929,14.2654,10.9057,-35.823,4
gu461,1998.2048,74.6917,8.4646,16.219,0.002,2.4744,91.1055,250.9159,13.449,10.8601,11.6473,10.3619,14.3752,10.8718,-35.8666,4
gu461,1998.2361,74.6249,8.465,16.2279,0.0026,2.4734,90.4517,252.7597,13.4205,10.8899,11.7888,10.4211,14.1409,10.8274,-35.9023,4
gu461,1998.2674,74.5597,8.465,16.2434,0.003,2.4724,90.0421,254.1152,13.3839,10.9059,11.9229,10.4767,13.781,10.7786,-35.9349,4
gu461,1998.2987,74.4975,8.465,16.2483,0.0036,2.4714,90.0329,254.835,13.3334,10.894,12.0474,10.5306,13.3811,10.7229,-35.9663,4
gu461,1998.33,74.4425,8.4644,16.2302,0.0057,2.471,90.9377,255.227,13.2513,10.8176,12.1504,10.5819,12.8867,10.6524,-35.9956,4
gu461,1998.3613,74.3907,8.4634,16.1996,0.0081,2.471,92.3211,255.0853,13.1523,10.7071,12.2428,10.6321,12.3416,10.5741,-36.0238,4
gu461,1998.3926,74.3331,8.4624,16.1663,0.0101,2.4716,93.7588,254.6189,13.0499,10.5915,12.3314,10.6827,11.8379,10.4944,-36.0523,4
gu461,1998.4239,74.2477,8.4597,16.1204,0.0121,2.472,95.4893,253.9115,12.9304,10.4472,12.4058,10.7367,11.5206,10.4075,-36.0843,4
gu461,1998.4552,74.1441,8.4557,16.0664,0.0141,2.4726,97.3983,253.0802,12.8009,10.2858,12.4703,10.7933,11.3256,10.317,-36.1188,4
gu461,1998.4865,74.0407,8.4517,16.0124,0.0161,2.4736,99.3067,252.5527,12.6714,10.1242,12.5348,10.8497,11.1306,10.2265,-36.1533,4
gu461,1998.5178,73.9087,8.4443,15.9765,0.0176,2.474,100.7876,251.4318,12.5694,9.9975,12.5949,10.9134,11.1852,10.1545,-36.1971,4
gu461,1998.5491,73.7552,8.4343,15.9545,0.0186,2.4734,101.933,250.67,12.4888,9.8985,12.6515,10.9824,11.4286,10.0981,-36.2487,4
gu461,1998.5804,73.6006,8.4243,15.9324,0.0196,2.473,103.0825,250.0883,12.4081,9.7992,12.7082,11.0516,11.6731,10.0413,-36.3009,4
gu461,1998.6117,73.4845,8.412,15.9391,0.0206,2.4719,103.6469,248.8571,12.3901,9.7685,12.7647,11.1264,12.0555,10.0239,-36.3655,4
gu461,1998.643,73.4062,8.3968,15.974,0.0221,2.4693,103.6357,247.9734,12.4342,9.8057,12.8212,11.2065,12.5749,10.0468,-36.4424,4
