wellname,Depth,AC,CALI,DFL,DRHO,DT,GR,HAC,HRID,HRIM,LLD,LLS,MSFL,NPHI,PD60,PE,RHOB,SP,lith
gu471,1865.6625,251.857,8.5926,4.3711,0.2741,84.4846,118.8264,253.1702,4.2193,4.4513,4.8084,4.7426,7.3224,0.2278,108.7456,4.1581,2.4374,-6.2333,5
gu471,1865.69375,252.1069,8.5943,4.3727,0.2083,84.6531,120.4307,254.4345,4.2039,4.4322,4.6622,4.577,6.3292,0.2386,107.074,3.5114,2.4156,-6.1905,5
gu471,1865.725,252.2297,8.597,4.6574,0.1552,84.2676,118.8801,256.0782,4.2917,4.5251,4.5344,4.4785,6.2059,0.242,105.7577,3.1255,2.4292,-6.1857,5
gu471,1865.75625,252.353,8.5975,5.0822,0.1364,83.2516,116.6559,257.9747,4.4518,4.6948,4.5882,4.5568,6.86,0.2206,104.2378,3.0888,2.4785,-6.1951,5
gu471,1865.7875,252.351,8.5926,5.599,0.136,81.9657,116.2582,260.5042,4.6365,4.8873,4.9485,4.9785,7.4342,0.1944,102.7685,3.2118,2.5345,-6.1523,5
gu471,1865.81875,252.4743,8.5855,6.1781,0.1412,81.3331,117.1755,261.7677,4.779,5.0309,5.5294,5.5448,7.314,0.1892,101.5023,3.3082,2.5677,-6.0952,5
gu471,1865.85,252.7247,8.5768,6.2445,0.1482,81.6016,116.5507,261.0049,4.809,5.0569,5.9898,6.1387,7.5329,0.1942,100.4374,3.3145,2.5623,-6.0094,5
gu471,1865.88125,253.2283,8.5713,6.0604,0.1761,81.926,114.3874,259.7365,4.6916,4.9323,6.0029,6.2309,7.9852,0.1935,100.788,3.3287,2.5524,-5.8998,5
gu471,1865.9125,253.7305,8.5746,5.3398,0.2175,82.725,114.6485,257.1998,4.4562,4.6865,5.8755,6.1088,8.0871,0.2023,101.4424,3.5042,2.5558,-5.7521,5
gu471,1865.94375,253.8556,8.5861,4.6637,0.2497,84.9487,119.8596,255.8048,4.1693,4.3817,5.6695,5.9219,7.4204,0.2343,102.1979,3.7523,2.552,-5.6093,5
gu471,1865.975,254.4859,8.6139,4.1874,0.2347,87.6227,128.256,255.17,3.8947,4.0842,5.1583,5.4456,6.6081,0.2644,103.0035,3.7793,2.5069,-5.481,5
gu471,1866.00625,255.1156,8.6461,3.7883,0.1829,89.6266,135.7991,253.3942,3.6719,3.8383,4.5782,4.7191,6.8685,0.268,103.6589,3.522,2.4398,-5.4714,5
gu471,1866.0375,255.4935,8.68,3.6836,0.1506,91.3184,139.287,251.6167,3.5201,3.6689,4.1456,4.3794,6.4145,0.2747,104.7172,3.3321,2.4236,-5.4333,5
gu471,1866.06875,255.9966,8.6996,3.799,0.1468,92.3156,138.8377,251.6158,3.4377,3.576,3.9516,4.2719,4.9091,0.2794,105.6239,3.3381,2.4541,-5.4048,5
gu471,1866.1,256.5002,8.7024,3.8579,0.1322,91.8889,136.6705,251.3604,3.4021,3.5337,3.8949,4.0741,4.4158,0.281,106.1276,3.349,2.4696,-5.4,5
gu471,1866.13125,257.0038,8.7013,3.8273,0.1094,91.2108,133.6192,251.9903,3.3815,3.5051,3.8409,4.0341,4.7231,0.2871,106.8325,3.2896,2.4569,-5.3952,5
gu471,1866.1625,257.6336,8.6996,3.7361,0.0934,91.1203,130.5899,252.4945,3.3548,3.468,3.8359,4.0502,5.2028,0.2783,107.8394,3.2039,2.4433,-5.381,5
gu471,1866.19375,258.011,8.7045,3.6392,0.0713,91.3003,129.9396,254.6415,3.3263,3.4328,3.8551,4.0002,5.3615,0.2723,108.1408,3.1289,2.4142,-5.4048,5
gu471,1866.225,258.7679,8.7155,3.531,0.0883,91.5625,131.7271,254.6415,3.3199,3.428,3.8642,3.9834,4.9707,0.2782,107.7336,3.1779,2.3998,-5.3713,5
gu471,1866.25625,259.2715,8.7193,3.5069,0.1572,91.696,133.1779,256.0298,3.3555,3.4726,3.8557,3.9686,4.7119,0.2807,106.2133,3.4521,2.4423,-5.319,5
gu471,1866.2875,259.1406,8.7106,3.5638,0.1852,91.9759,132.8341,256.6606,3.4331,3.5625,3.8226,3.9559,4.5422,0.2741,105.1493,3.6803,2.4892,-5.3,5
gu471,1866.31875,258.5052,8.6876,3.5646,0.1524,92.7281,131.5826,257.6695,3.5395,3.6775,3.7794,3.9117,4.8872,0.2614,103.9332,3.5629,2.4967,-5.281,5
gu471,1866.35,257.9958,8.6636,3.5094,0.1182,92.6141,130.1274,258.0475,3.6722,3.8123,3.7207,3.8854,5.3695,0.2443,102.7167,3.3702,2.4595,-5.3096,5
gu471,1866.38125,257.3599,8.6652,3.6209,0.1075,90.0891,128.0701,258.9316,3.8674,4.0029,3.6867,3.8008,4.7327,0.2292,101.855,3.2143,2.3334,-5.4195,5
gu471,1866.4125,256.9777,8.6745,3.8375,0.18,85.9459,125.2234,259.4363,4.2106,4.3444,3.9351,3.969,3.9907,0.2287,100.5373,3.5735,2.3,-5.6337,5
gu471,1866.44375,257.101,8.6751,4.6115,0.2084,81.6721,121.121,260.3177,4.8116,4.9581,4.5602,4.5948,3.6754,0.2268,99.8773,3.873,2.3339,-5.9429,5
gu471,1866.475,257.8574,8.6488,6.6157,0.1272,77.9563,114.0189,260.3172,5.767,5.9616,5.5946,5.7485,3.741,0.206,99.4196,3.4893,2.3526,-6.3194,5
gu471,1866.50625,258.3615,8.6063,10.0058,0.0499,74.753,103.0879,260.3127,7.0304,7.3245,7.0966,7.4505,7.8219,0.1723,99.1635,3.0338,2.3985,-6.667,5
gu471,1866.5375,259.2439,8.5746,14.5599,0.0615,72.1469,91.0006,260.438,8.1496,8.5655,9.4899,9.8965,19.0256,0.1434,99.2618,2.9942,2.5346,-6.9002,5
gu471,1866.56875,260.0008,8.5697,15.7082,0.073,71.4205,82.6675,260.8138,8.416,8.883,12.4298,13.1236,31.2226,0.15,99.5113,2.9804,2.6029,-6.9854,5
gu471,1866.6,260.2521,8.5839,12.7573,0.1097,72.7939,81.5532,260.8125,7.695,8.1219,12.4248,12.97,28.1176,0.2046,99.7618,3.0026,2.6056,-6.7476,5
