wellname,Depth,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long291,1921.7675,126.8125,-13.1562,8.875,256.5591,24.09,2.6076,10.7838,11.3138,8.5781,3
long291,1921.79875,126.875,-12.8828,8.8906,252.9802,22.67,2.6091,10.147,10.5648,8.2344,3
long291,1921.83,129.25,-12.7578,8.9219,249.9116,23.66,2.4817,9.3145,9.6743,7.7109,3
long291,1921.86125,127.4995,-12.7344,9.0623,247.738,26.72,2.3795,7.7571,8.0638,7.5586,3
long291,1921.8925,126.875,-12.7734,8.8672,245.3076,29.73,2.3533,6.6955,7.0077,10.9294,3
long291,1921.92375,127.1245,-12.5626,9.0234,243.645,29.81,2.3974,7.1928,7.3569,16.3619,3
long291,1921.955,126.4375,-12.7266,9.0234,242.365,30.7,2.4304,7.1104,7.3074,20.0938,3
long291,1921.98625,124.3125,-13.0469,8.9766,241.0846,31.46,2.3806,6.973,7.2162,13.2656,3
long291,1922.0175,124.25,-13.0156,9.0391,240.6991,31.28,2.3446,7.0802,7.3462,10.9922,3
long291,1922.04875,115.875,-13.0859,9.0781,240.8241,31.17,2.3649,6.6041,6.8246,10.2031,3
long291,1922.08,113.125,-13.0234,8.9609,240.9487,28.85,2.4643,6.4041,6.5258,10.0781,3
long291,1922.11125,111,-13.125,9.125,240.9464,30.11,2.4739,6.2732,6.3781,9.1663,3
long291,1922.1425,119.875,-13.0938,8.9375,241.1987,32.62,2.4336,5.7287,5.8991,8.9688,3
long291,1934.0175,107.123,-15.5624,8.9375,351.6509,15.21,2.5614,13.8921,14.0711,13.2656,7
long291,1934.04875,104.6875,-15.4688,8.9375,346.1563,15.49,2.5605,13.7198,13.7642,10.9922,7
long291,1934.08,110.5,-15.4609,8.9453,307.066,16.6,2.5488,13.0158,13.1077,10.2031,7
long291,1934.11125,116.5,-15.2656,8.9688,297.9967,18.19,2.5481,10.3852,10.2837,10.0781,7
long291,1934.1425,122.125,-15.2969,8.9688,285.7319,22.43,2.5359,8.0596,7.9618,9.1663,7
long291,1934.17375,128.375,-15.2969,8.9688,276.9149,26.06,2.4997,6.6375,6.738,8.9688,7
long291,1934.205,132.125,-15.3047,8.9766,272.4421,27.4,2.4773,6.3102,6.3861,9.9453,3
long291,1934.23625,138.75,-15.2734,8.9688,267.9689,24.91,2.4836,6.3597,6.3719,13.9766,3
long291,1934.2675,137.125,-15.3047,8.9375,262.857,24.17,2.504,7.1705,7.1226,18.3906,3
long291,1934.29875,138.875,-15.5,8.9375,256.34,23.1,2.5186,8.4332,8.3192,17.4531,3
long291,1934.33,135.375,-15.4062,8.9375,250.8445,23.17,2.5416,7.9547,7.8676,15.9021,3
long291,1934.36125,138.621,-15.0625,8.9375,245.9875,23.41,2.5423,7.2034,7.2538,13.3032,3
long291,1934.3925,133.625,-15.0938,8.9375,241.8979,25.12,2.514,6.9316,7.1186,14.6797,3
long291,1934.42375,131.6258,-15.0002,8.9375,236.9137,27.18,2.5052,5.8893,6.2169,14.7578,3
long291,1934.455,132.625,-15.25,8.9375,231.5463,28.61,2.5224,5.4556,5.7035,19.875,3
long291,1934.48625,139.625,-15.25,8.9375,229.3722,27.54,2.5216,5.6805,5.9366,22.0312,3
long291,1934.5175,141.375,-15.125,8.9375,232.3073,26.82,2.534,6.2302,6.5068,17.3906,3
long291,1934.54875,140.25,-15.1875,8.9375,234.8591,25.84,2.5334,7.0234,7.2905,14.4524,3
long291,1934.58,136.125,-15.0312,8.9375,237.1546,27.49,2.5337,7.9378,8.0228,13.3047,3
long291,1934.61125,137.375,-14.8438,8.9375,238.0465,27.76,2.503,7.5481,7.739,12.5859,3
