Depth,AC,CALS,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD60,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
946.53125,344.4796,9.1016,0.0383,134.4304,122.375,350.7148,2.8036,2.5253,2.5612,2.2012,1.2744,10.4688,49.6875,0.4051,128.4583,2.6099,2.2713,2.0369,-25.7031,756.85,570.0,760.2244,579.5695,水层
946.5625,343.9601,9.1016,0.0425,134.3383,127.5625,348.9241,2.6715,2.4574,2.6513,2.2788,1.2744,10.6797,49.6875,0.3708,130.2498,2.572,2.2767,2.0811,-25.3125,777.6448,567.2745,778.1232,578.0433,水层
946.59375,343.318,9.1328,0.0443,129.1283,127.2498,346.8771,2.6085,2.4502,2.6711,2.331,1.2725,10.586,49.6875,0.3529,136.7493,2.6871,2.3012,2.1128,-25.0939,797.7731,548.8835,804.8354,564.7349,水层
946.625,342.4185,9.1875,0.046,119.9709,126.7469,344.3178,2.5408,2.4823,2.7787,2.451,1.2725,11.5938,49.6875,0.3506,141.1507,2.8209,2.334,2.2465,-25.25,802.5,537.8723,813.2114,556.2247,水层
946.65625,340.6257,9.2422,0.0481,113.3961,119.0,342.657,2.4602,2.4613,2.9844,2.6609,1.2725,8.4375,49.6875,0.3575,151.5397,2.7038,2.3576,2.4889,-25.3125,802.0747,530.5038,813.8621,551.2874,水层
946.6875,338.8341,9.2812,0.0414,111.2907,115.625,339.8441,2.3856,2.3437,3.1155,2.7612,1.2715,7.1538,49.6875,0.3651,157.7778,2.5113,2.3548,2.5269,-25.5,798.4307,527.2148,809.1446,549.7148,水层
946.71875,337.0425,9.2734,0.0323,113.1163,110.75,338.8168,2.3245,2.2016,3.0876,2.7086,1.2705,5.3047,49.6875,0.3611,173.6979,2.4616,2.3241,2.2976,-25.625,790.9992,525.9289,802.8562,547.1422,水层
946.75,333.2092,9.1562,0.0287,118.7213,117.3125,340.7209,2.2704,2.0919,2.8667,2.5319,1.2715,5.082,49.7188,0.3655,186.7482,2.5164,2.2968,1.956,-25.7344,783.6342,530.8723,794.6342,544.2285,水层
946.78125,331.9299,9.1016,0.0219,124.8978,121.8125,343.6421,2.2491,2.0247,2.5242,2.2192,1.2725,4.1992,49.7188,0.3786,194.5264,2.6002,2.2722,1.7211,-25.4531,773.842,546.5859,785.0583,559.5184,水层
946.8125,328.8626,9.0781,0.0109,127.0116,129.5,345.4213,2.2448,2.0005,2.2826,1.9991,1.2725,3.3594,49.6875,0.3944,198.9281,2.6859,2.2547,1.6023,-25.2344,762.1878,555.71,773.818,571.5725,水层
946.84375,324.9031,9.0859,0.01,126.6439,127.9375,347.3254,2.2556,2.0476,2.1859,1.9014,1.2734,2.7754,49.6875,0.4035,201.5387,2.7042,2.2488,1.5759,-25.0781,751.0639,552.837,757.7819,570.6917,水层
946.875,320.4351,9.0781,0.0137,124.7868,126.9375,350.8864,2.3258,2.1681,2.2629,1.9171,1.2744,2.6602,49.6875,0.3991,205.5311,2.7156,2.2572,1.6447,-24.9844,746.6728,542.3456,755.0383,559.5649,水层
946.90625,315.9671,9.0859,0.0215,121.1687,119.9375,353.9375,2.4746,2.3549,2.3757,1.9807,1.2725,2.8809,49.6875,0.3887,207.7322,2.6737,2.2775,1.7937,-25.0469,734.6803,517.8474,744.6671,536.0541,水层
946.9375,311.2442,9.1172,0.0331,113.8405,113.5,355.5867,2.691,2.6476,2.5381,2.126,1.2715,3.3398,49.6875,0.3579,211.0082,2.7857,2.3141,2.015,-25.0312,725.7439,497.0247,732.8178,512.7858,水层
946.96875,305.2456,9.1172,0.0418,106.4492,107.9344,346.4025,2.9953,3.0427,3.1984,2.6246,1.2715,3.4961,49.75,0.3267,212.6977,2.7431,2.3378,2.4139,-25.0002,717.2371,480.7071,724.96,492.7271,水层
947.0,300.7765,9.1172,0.0402,101.2019,100.3102,335.4315,3.4107,3.4868,3.597,3.0123,1.2686,3.1332,49.7812,0.3105,214.4384,2.5598,2.3333,3.0491,-25.5317,708.5847,467.3985,717.4357,482.4357,水层
950.0,370.5589,9.7812,0.0149,108.6539,111.3125,432.8538,3.818,3.506,3.5507,3.1287,1.2637,4.7109,50.0938,0.3302,164.4069,2.73,2.3679,2.7831,-25.5156,680.14,473.7371,685.64,485.6015,水层
950.03125,355.3752,9.7812,0.019,105.2208,109.8125,412.0538,3.6949,3.4789,3.437,3.0046,1.2646,4.7969,50.0938,0.3267,156.2152,2.6623,2.3919,2.9919,-25.2344,669.8184,488.4918,674.6816,500.8042,水层
