Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,result
1936.2308,65.7289,8.8698,9.3342,-0.066,2.5874,70.3419,225.9767,15.9264,10.1853,6.5663,6.106,10.9154,12.3699,-37.8935,干层
1936.2621,66.3515,8.8718,9.3812,-0.0656,2.5704,73.9669,226.2994,14.0424,9.0797,6.4353,5.9074,8.8688,11.0559,-37.7835,干层
1936.2934,67.06,8.873,9.4381,-0.0623,2.5538,77.8252,225.1471,12.2804,8.0399,6.3073,5.7215,7.0183,9.8273,-37.6668,干层
1936.3247,68.0231,8.871,9.5258,-0.0514,2.5374,82.3408,223.9965,10.9207,7.2176,6.1908,5.5769,5.7999,8.8817,-37.531,干层
1936.356,69.1827,8.866,9.6377,-0.034,2.5208,87.3708,223.8213,9.8631,6.559,6.0828,5.4635,5.0599,8.1487,-37.38,干层
1936.3873,70.3628,8.8618,9.7628,-0.0151,2.5051,92.4505,224.8521,8.841,5.9292,5.9748,5.3534,4.3628,7.4385,-37.2261,干层
1937.4202,74.9145,8.7852,17.5861,0.0469,2.3808,87.4138,283.6527,8.394,14.7334,6.4008,7.5326,58.3936,7.7593,-35.7088,干层
1937.4515,73.6399,8.7812,16.8583,0.0313,2.4124,83.7361,266.2237,9.541,16.7814,6.5333,7.6777,80.4113,8.6913,-35.8323,干层
1937.4828,72.3705,8.7772,16.1333,0.0158,2.4444,80.0725,252.1881,10.6835,18.8214,6.6657,7.8221,102.3433,9.6199,-35.9553,干层
1937.5141,71.0933,8.7755,15.5953,0.0056,2.4729,77.2262,239.111,12.2183,20.1172,6.8142,7.9591,106.4915,10.9185,-36.0819,干层
1937.5454,69.8183,8.7765,15.2893,0.0022,2.4973,75.3972,227.7291,14.2159,20.4976,6.9807,8.0851,88.9866,12.6561,-36.2115,干层
1937.5767,68.5437,8.7775,14.9833,-0.0014,2.5219,73.5682,218.7215,16.2129,20.8786,7.1472,8.2111,71.481,14.3935,-36.3409,干层
1937.608,67.4169,8.7785,14.4805,-0.003,2.5428,72.2865,211.0826,17.8333,20.6761,7.3436,8.3467,56.4913,15.7914,-36.4687,干层
1937.6393,66.5143,8.7795,13.6976,-0.003,2.5584,71.8094,206.2448,18.8929,19.6318,7.5819,8.4955,45.285,16.6841,-36.5922,干层
