Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MSFL,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1251.982,9.4141,8.0E-4,89.9388,94.375,6.102,6.1406,7.1057,6.4092,20.0938,0.2298,3.0117,2.4898,6.5244,-58.9688,587.5,405.0,579.5,402.0,水层
1252.0328,9.125,-0.0013,89.9395,100.375,5.803,6.0028,7.0214,6.2656,20.4522,0.2349,3.2734,2.4941,6.6109,-58.2812,589.0,406.25,582.0,402.0,水层
1252.0836,9.5859,-0.0024,89.9833,102.375,5.4655,5.7039,6.7833,5.9741,20.0625,0.2556,3.1387,2.4993,6.489,-57.7188,592.0,408.0,585.0,403.5,水层
1252.1344,9.7109,-0.0059,90.5703,101.8125,5.1138,5.1891,6.2785,5.4674,18.875,0.275,2.8926,2.4872,6.3111,-57.6875,597.5,409.5,590.0,406.25,水层
1252.1852,9.5392,-0.0063,92.4327,97.7484,4.8661,4.7236,5.4801,4.8687,17.5938,0.279,2.715,2.4946,5.6171,-57.4688,603.0048,413.5032,595.5052,411.0026,水层
1252.236,9.6406,-0.0041,94.4846,95.6875,4.5954,4.3728,4.8385,4.3703,17.1406,0.2692,2.9512,2.4999,4.631,-57.5312,609.0,417.5,602.0,414.25,水层
1252.2868,9.4844,-0.0047,96.6445,98.1875,4.5024,4.1665,4.218,3.8618,16.0938,0.2767,2.9181,2.5008,3.8352,-57.75,607.0008,422.755,601.9988,418.005,水层
1252.3376,9.4844,-0.0084,97.4997,105.3125,4.4284,4.0205,3.9793,3.7442,14.6207,0.285,3.0137,2.4822,3.4192,-57.6875,608.0,429.0,600.5,424.25,水层
1252.3884,9.625,-0.0031,95.5747,112.4375,4.4293,4.1316,4.5925,4.1978,12.9766,0.3009,2.9375,2.4772,3.3484,-57.4375,609.5,426.25,603.0,424.75,水层
1252.4392,9.2969,-0.0013,93.9483,110.375,4.415,4.4252,4.8122,4.5301,12.2969,0.2966,3.127,2.4809,3.8306,-57.3125,606.5,427.0,600.0,423.5,水层
1252.49,9.3906,-0.0015,91.6448,104.4375,4.5156,4.6269,6.015,5.4695,12.6328,0.2802,2.9824,2.4781,4.7713,-57.5625,606.0,423.0,599.5,422.75,水层
1252.5408,9.8906,-0.004,89.2442,93.4375,4.5091,4.8748,7.5489,6.4243,13.9297,0.2595,3.457,2.4788,5.6765,-57.75,610.5,416.75,603.0,416.25,水层
