Depth,CAL,CALI,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1244.34375,9.7456,12.2043,0.0821,93.0279,83.0984,5.3331,5.2825,5.7426,5.7206,0.8537,6.5839,58.7752,0.2423,3.6523,2.3646,5.6897,-55.3005,652.1874,451.3546,655.785,452.1533,水层
1244.375,9.7587,12.6795,0.0875,92.9874,83.2945,5.3431,5.2824,5.7095,5.6875,0.8531,6.3107,58.7752,0.2401,3.6202,2.3678,5.6679,-55.3449,656.1698,452.9387,659.7646,456.5365,水层
1244.40625,9.7892,12.9028,0.0897,92.9871,83.556,5.343,5.2923,5.6656,5.6765,0.8511,6.1903,58.8033,0.2389,3.6001,2.3686,5.657,-55.3456,660.548,455.7231,662.551,459.3221,水层
1244.4375,9.8241,12.992,0.0935,92.9868,83.8176,5.3633,5.2923,5.622,5.6546,0.8511,6.0839,58.7965,0.2387,3.592,2.3686,5.6677,-55.3463,662.9343,454.9043,664.9359,457.7059,水层
1244.46875,9.8459,12.9425,0.0973,92.9664,84.5369,5.3836,5.3022,5.5895,5.6327,0.8544,6.0487,58.858,0.2387,3.6682,2.3658,5.6891,-55.3475,665.7192,454.0868,667.3208,456.091,水层
1244.5,9.8721,12.8747,0.1013,92.946,84.5369,5.4765,5.3122,5.5787,5.6326,0.8531,6.0486,58.858,0.2387,3.7364,2.3628,5.6998,-55.7422,668.9028,453.6721,670.903,454.8682,水层
1244.53125,9.9026,12.9225,0.1027,92.9055,84.602,5.5393,5.3222,5.5571,5.6108,0.8524,6.0136,58.8452,0.2402,3.8246,2.3572,5.7106,-55.6987,672.0835,453.6574,673.2878,454.8549,水层
1244.5625,9.9288,13.0596,0.1074,92.8651,84.7981,5.571,5.4555,5.5464,5.6108,0.8553,5.933,58.8786,0.243,3.969,2.353,5.7323,-55.6995,674.8684,454.0401,676.4685,455.6403,水层
1244.59375,9.9462,13.1513,0.109,92.8245,84.8631,5.6563,5.5814,5.5462,5.6107,0.8547,5.8422,58.9059,0.2458,4.2017,2.3431,5.7871,-55.6127,676.4531,456.0243,677.6532,458.4205,水层
1244.625,9.9593,12.8849,0.1122,92.7839,84.9937,5.7212,5.624,5.5462,5.6106,0.8615,5.7528,58.9385,0.2492,4.3581,2.3385,5.8534,-55.4383,675.6348,460.0033,678.4365,461.2061,水层
1244.65625,9.8894,12.6033,0.114,92.7636,84.9933,5.7758,5.721,5.5461,5.6322,0.8602,5.6648,58.9317,0.2517,4.4504,2.333,5.9431,-55.3079,674.4193,461.9914,677.6182,463.5916,水层
1244.6875,9.8108,12.4214,0.115,92.6828,84.9274,5.8309,5.8308,5.546,5.6647,0.8602,5.5781,58.9917,0.2546,4.6189,2.3291,6.1384,-55.2648,673.2009,465.9703,678.0,466.373,水层
1244.71875,9.7409,12.3735,0.1154,92.6424,84.6651,5.8978,5.8308,5.6974,5.7415,0.859,5.4822,58.9917,0.2584,4.8034,2.3247,6.2444,-55.2217,672.7827,467.1571,678.7845,469.9573,水层
1244.75,9.658,12.3934,0.1162,92.6019,83.6824,6.0109,5.8977,5.8305,5.8417,0.8613,5.3879,58.9842,0.2632,4.8876,2.3214,6.3886,-55.1786,673.1673,469.9412,680.7679,473.5388,水层
1244.78125,9.6012,12.4603,0.1164,92.5413,82.3068,6.0109,5.9653,5.9553,5.921,0.8613,5.2749,59.0107,0.2654,4.9678,2.3188,6.5486,-55.0917,675.5479,471.928,684.7444,476.3283,水层
1244.8125,9.5662,12.69,0.116,92.1991,80.3417,6.0567,6.0337,6.071,6.1061,0.8643,5.1942,59.0039,0.2687,5.0199,2.3162,6.8025,-55.0487,677.5326,474.7121,685.9332,478.311,水层
1244.84375,9.5182,12.9244,0.1109,91.8569,79.3592,6.1612,6.1611,6.2367,6.177,0.8637,5.1741,59.0298,0.2713,5.036,2.3162,6.9332,-55.0059,681.1132,475.8961,689.9138,479.4896,水层
1244.875,9.4527,13.0846,0.1063,91.3737,78.3765,6.2913,6.1611,6.3579,6.2728,0.8621,5.3154,59.023,0.2737,5.0479,2.3164,7.2158,-54.9627,685.0966,475.4786,693.4944,479.8762,水层
