Depth,AC,CAL,CNL,GR,MINV,MNOR,R025,R045,R25,R4,RA05,RILD,RILM,RL3D,RL3S,RLL8,RM,SP,result
1469.71875,85.7195,8.811,16.1693,109.8297,5.7597,6.6386,6.6931,13.8596,15.4667,38.3736,16.5579,14.3216,17.0434,7.3454,8.0765,7.0048,0.95,9.0155,差油层
1469.75,85.7252,8.8246,17.9382,110.195,6.1666,6.8798,7.1021,15.2414,15.3096,38.0831,16.0918,14.1963,17.4288,7.422,8.311,7.0575,0.95,9.094,差油层
1469.78125,85.7309,8.8309,19.1671,110.5603,5.809,7.2991,7.3244,16.2684,15.1525,37.2749,15.5472,14.0464,17.921,7.4987,8.5454,7.0583,0.95,9.1724,差油层
1469.8125,85.7813,8.8371,20.2677,110.8773,5.5409,7.5276,7.5466,17.2955,14.9799,36.381,14.9849,13.7968,18.3598,7.482,8.6219,7.0334,0.95,9.2507,差油层
1469.84375,85.8989,8.8408,21.1762,111.1211,5.0433,5.0433,7.3629,17.7329,14.7838,34.7302,14.3964,13.5764,18.6698,7.3244,8.4598,6.9958,0.95,9.3289,差油层
1469.875,86.0166,8.8408,21.6565,111.365,4.6859,5.4241,7.1792,18.1703,14.5876,33.2698,13.7821,13.3595,18.9869,7.1668,8.2978,6.8951,0.95,9.4071,差油层
1469.90625,86.158,8.8408,21.9371,111.6089,4.3666,5.2453,6.8144,17.103,14.3684,31.005,13.1612,13.2669,16.9879,7.0017,8.0668,6.7216,0.95,9.4697,差油层
1469.9375,86.3945,8.8389,21.8425,111.8527,4.0981,5.0408,6.4495,16.0357,14.0561,28.5078,12.5397,13.0072,15.822,6.8062,7.5584,6.5884,0.95,9.4697,差油层
1469.96875,86.6311,8.8296,21.6733,112.0966,3.7153,4.8489,6.0564,15.2645,13.7438,24.7243,11.9889,12.6596,14.7378,6.6108,7.05,6.2949,0.95,9.4697,差油层
1470.0,86.8677,8.8202,21.4542,112.3404,3.2944,4.6825,5.6633,14.4934,13.4315,20.082,11.4853,11.9661,13.9037,6.4153,6.5416,6.6501,0.95,9.4697,差油层
1470.03125,86.9861,8.8109,21.2161,112.3404,2.8861,4.516,5.1733,13.5154,13.0794,17.599,11.1352,11.2066,13.0458,6.3364,6.7767,6.0479,0.95,9.4697,差油层
1470.0625,87.1044,8.7954,21.0362,112.3404,2.4266,4.4007,4.6832,12.5374,12.7273,15.2246,10.7864,10.5536,12.421,5.7179,7.0118,5.736,0.95,9.4697,差油层
1470.09375,87.2228,8.7798,20.8251,112.3404,2.3495,4.3361,4.3664,11.1313,12.3751,13.0127,10.4395,10.0669,11.7833,5.6544,7.2469,6.1625,0.95,9.4697,差油层
1470.125,87.2469,8.7643,20.7198,112.3404,2.5777,4.5132,4.0497,9.7253,12.179,11.7409,10.1784,9.4631,11.3017,6.2572,7.4821,6.2427,0.95,9.4697,差油层
1470.15625,87.2475,8.7612,20.5792,112.3404,3.0734,4.5638,3.9629,8.2448,12.0217,10.744,9.9621,9.0096,10.8395,6.3749,7.7174,6.4893,0.95,9.4697,差油层
