Depth,AC,CALI,CALS,CNGR,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD,PEF,RHOB,RLLD,RLLS,SFLU,SP,TT1,TT2,TT3,TT4,result
2009.2275,-99999.0,11.3438,11.34,119.7786,0.2069,85.7603,121.3498,-99999.0,5.8323,5.8299,6.0469,6.0362,1.2133,15.5703,71.5853,0.2633,-99999.0,3.3145,2.2711,-99999.0,-99999.0,6.019,14.1869,533.0048,373.001,545.0024,384.9992,干层
2009.25875,-99999.0,11.0781,11.0455,119.8168,0.2086,85.7805,121.3591,-99999.0,5.9481,5.9119,6.033,6.0475,1.2141,15.7344,71.5625,0.2527,-99999.0,3.3712,2.3031,-99999.0,-99999.0,5.9099,14.2703,529.5,371.5,536.0,383.5,干层
2009.29,-99999.0,11.0859,10.9459,124.4923,0.216,85.0067,118.64,-99999.0,6.1464,6.1236,6.2668,6.3132,1.2148,16.202,71.6022,0.2458,-99999.0,3.4648,2.3548,-99999.0,-99999.0,5.8108,14.0872,521.5064,370.7506,530.0048,382.7506,干层
2009.32125,-99999.0,11.5,10.8955,123.8334,0.2232,83.0303,117.8865,-99999.0,6.4799,6.5293,6.9459,6.9489,1.2142,17.3906,71.625,0.2419,-99999.0,3.4531,2.406,-99999.0,-99999.0,5.9457,14.1154,515.5,370.0,522.5,381.5,干层
2009.3525,-99999.0,11.0234,10.2785,119.4272,0.2079,82.2316,115.9806,-99999.0,6.8712,7.2118,8.1141,8.07,1.2139,18.5625,71.5852,0.2029,-99999.0,3.1797,2.4121,-99999.0,-99999.0,6.504,14.3827,509.5048,354.7622,519.5024,361.516,干层
2009.38375,-99999.0,10.0469,9.6622,114.8363,0.1687,78.7765,114.7273,-99999.0,7.2526,7.9541,9.3503,9.2839,1.2139,18.9219,71.5227,0.1689,-99999.0,3.1758,2.4228,-99999.0,-99999.0,8.0647,14.4563,510.25,345.0,514.5,354.75,干层
2009.415,-99999.0,9.7344,9.4125,109.14,0.1358,75.1859,107.9732,-99999.0,7.6285,8.5536,10.8011,10.6611,1.2139,18.875,71.5797,0.139,-99999.0,3.1543,2.4622,-99999.0,-99999.0,10.5129,14.4735,500.5078,335.008,504.2582,342.0102,干层
2009.44625,-99999.0,9.2422,9.2224,103.0516,0.1159,72.6245,101.4496,-99999.0,8.1547,8.9651,12.1047,11.8579,1.217,20.6719,71.5851,0.1327,-99999.0,3.0762,2.5299,-99999.0,-99999.0,12.6653,14.1766,496.25,326.0,504.25,334.0,干层
2009.4775,-99999.0,9.1561,9.1157,98.8405,0.0913,71.5797,97.2599,-99999.0,8.4721,9.1589,12.036,11.7839,1.2175,26.6263,71.5225,0.1287,-99999.0,2.8848,2.5982,-99999.0,-99999.0,12.7753,13.9961,488.0,322.25,496.25,332.0,干层
2009.50875,-99999.0,9.0234,9.2116,93.4976,0.0711,72.046,98.1108,-99999.0,8.686,9.1513,11.17,10.9529,1.2149,38.4091,71.5,0.123,-99999.0,2.9004,2.6004,-99999.0,-99999.0,11.9453,13.9161,486.25,322.0,491.0,330.25,干层
2009.54,-99999.0,9.6175,9.524,97.0865,0.0706,73.8025,99.6379,-99999.0,8.585,8.8214,10.348,10.0939,1.2151,48.0938,71.5401,0.1307,-99999.0,3.2031,2.5712,-99999.0,-99999.0,10.5716,13.9913,488.0,329.0,492.0,329.0,干层
2009.57125,-99999.0,9.9922,9.8847,101.1917,0.0951,75.2544,103.8416,-99999.0,8.2018,8.1305,8.9698,8.7844,1.2152,33.4688,71.6026,0.1617,-99999.0,3.2637,2.5102,-99999.0,-99999.0,9.6524,14.0987,490.75,338.0,493.0,336.25,干层
