Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
982.682,10.2188,0.0806,92.6342,93.3125,4.5559,4.2956,4.3889,4.2546,0.8638,9.0938,42.875,0.2709,3.6824,2.3855,4.5468,-27.375,643.8562,454.4613,641.3735,451.3148,水层
982.7328,10.5234,0.0802,94.1066,94.0,4.5273,4.2977,4.2066,4.0604,0.8643,7.6562,42.875,0.2753,4.0113,2.3939,4.3295,-27.8438,644.7512,454.9315,642.2589,451.7283,水层
982.7836,10.5547,0.0792,94.3051,89.5,4.4602,4.2508,4.4431,4.1878,0.8647,7.2148,42.875,0.2783,4.1994,2.3891,4.2684,-29.1719,645.6365,455.0088,643.5724,451.3286,水层
982.8344,10.2422,0.0734,92.9345,91.3125,4.3623,4.2175,4.4252,4.138,0.8652,6.8477,42.875,0.2718,4.0321,2.3808,4.1574,-29.4531,645.6943,455.0716,643.6206,451.3374,水层
982.8852,9.7969,0.0887,94.0358,92.5625,4.2453,4.2035,4.2863,4.0043,0.8633,6.637,42.875,0.2743,4.4016,2.3673,4.0174,-29.7344,645.7474,455.1103,639.3439,450.9359,水层
982.936,9.8828,0.0956,95.4518,96.25,4.225,4.1772,4.6189,4.1585,0.8628,6.6094,42.875,0.2717,5.3746,2.3225,4.0253,-29.5469,640.5692,454.3488,638.938,450.1297,水层
982.9868,9.9219,0.0951,95.1531,99.0625,4.1817,4.1667,4.7827,4.3055,0.8628,7.5664,42.875,0.27,6.665,2.2839,4.0057,-29.4531,640.9802,454.0043,638.1257,449.7295,水层
983.0376,9.9922,0.0977,95.0459,104.375,4.076,4.2024,4.6213,4.1618,0.8628,8.179,42.875,0.2703,5.6462,2.3005,4.117,-29.9688,641.3911,453.2428,638.5365,449.3293,水层
983.0884,9.6641,0.102,94.5695,100.8125,4.0341,4.1785,4.8085,4.3018,0.8633,8.8672,42.875,0.2663,4.4076,2.3508,4.2399,-30.0312,641.8015,452.4669,638.5392,448.5207,水层
983.1392,9.3203,0.082,93.7993,102.3125,3.9985,4.1159,4.996,4.4431,0.8638,7.6719,42.875,0.2608,4.0801,2.3692,4.2878,-29.7812,642.2125,451.6957,638.5427,447.3088,水层
983.19,9.2192,0.0467,94.7186,103.6897,3.9095,4.0225,4.4863,4.0236,0.8638,6.7355,42.875,0.2575,5.1026,2.3347,4.2502,-29.7188,642.2151,450.5366,638.546,446.9049,水层
983.2408,9.6953,0.0194,96.365,106.375,3.8437,3.8394,4.1033,3.6696,0.8638,5.875,42.875,0.268,7.3605,2.2326,4.051,-29.7188,641.8103,449.7703,638.141,446.0977,水层
983.2916,10.8594,0.0049,98.0338,102.9375,3.7888,3.6685,3.8702,3.4897,0.8628,5.625,42.875,0.292,11.6345,2.0715,3.697,-28.7188,642.2211,448.1797,637.7363,445.2906,水层
983.3424,11.3438,-5.0E-4,97.9185,97.0625,3.7619,3.6012,3.5968,3.2667,0.8623,5.9688,42.875,0.3144,13.9324,1.9198,3.2509,-27.9219,642.2245,447.8159,636.9244,444.4822,水层
983.3932,10.9375,-0.003,98.0547,95.875,3.7173,3.5726,3.947,3.4656,0.8628,6.3906,42.875,0.3186,10.0679,1.8734,3.0612,-27.5156,641.0042,446.235,636.9272,442.8629,水层
983.444,9.9922,0.003,97.045,96.5,3.7095,3.5815,4.1547,3.6257,0.8623,6.5156,42.875,0.3043,6.2681,1.9587,3.2787,-27.9688,639.3771,445.0662,636.1146,442.8668,水层
983.4948,9.2656,0.0353,96.2416,95.375,3.6972,3.5973,4.1856,3.6769,0.8613,6.5781,42.875,0.29,5.91,2.1207,3.5372,-28.875,638.5642,443.8829,636.1184,442.4668,水层
983.5456,9.5391,0.0623,96.0819,91.0,3.7239,3.609,4.2975,3.7633,0.8618,6.6601,42.875,0.2813,6.9687,2.1968,3.6253,-29.1562,637.7519,443.5191,635.7133,441.6638,水层
983.5964,9.3984,0.0541,95.933,88.75,3.8011,3.6893,4.4391,3.9145,0.8623,6.8359,42.875,0.2837,8.7698,2.1461,3.5177,-28.7969,637.7546,442.3649,634.9011,441.6683,水层
983.6472,9.1719,0.0466,95.1409,88.0,3.8833,3.8799,4.7297,4.1191,0.8623,6.4766,42.875,0.2861,7.703,2.1178,3.6024,-28.7969,636.9426,442.0059,634.9047,441.2684,水层
983.698,9.1797,0.0748,94.4235,94.1875,3.993,4.0541,5.1199,4.4039,0.8628,6.3205,42.875,0.2754,5.9459,2.1758,3.9242,-29.0469,636.1304,440.842,634.4999,441.2755,水层
